service_id,name,category,verification_level,last_verified,cadence_days,days_since_verification,status,search_visibility,priority_lane,recommendation,reviewer,evidence_url,notes
crisis-poison-control,Ontario Poison Centre,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-talk-suicide-canada,Talk Suicide Canada,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-talk4healing,Talk4Healing,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-text-line,Crisis Text Line,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-trans-lifeline,Trans Lifeline,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
dawn-house-shelter,Dawn House Services and Housing for Women,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
hope-for-wellness-helpline,Hope for Wellness Helpline,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kids-help-phone,Kids Help Phone,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kingston-detox-centre,Kingston Detoxification Centre (KHSC),Crisis,L2,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kingston-interval-house,Kingston Interval House,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
sack-sexual-assault-centre,Sexual Assault Centre Kingston (SACK),Crisis,L2,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
sexual-assault-centre-kingston,Sexual Assault Centre Kingston (SACK),Crisis,L2,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
telephone-aid-line-kingston-talk,Telephone Aid Line Kingston (TALK),Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
trans-lifeline-canada,Trans Lifeline,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
victim-services-kingston,Victim Services of Kingston and Frontenac,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
ontario-211-ontario,211 Ontario,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-black-youth-helpline,Black Youth Helpline,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-boots-on-the-ground,Boots on the Ground,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-farmer-wellness,Farmer Wellness Initiative,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-femaide,Fem'aide,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-irs-crisis-line,Indian Residential Schools Crisis Line,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-lgbt-youthline,LGBT YouthLine,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-male-survivors,Support Services for Male Survivors of Sexual Abuse,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-metis-crisis-line,Métis Nation of Ontario Crisis Line,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-mmiwg-crisis-line,MMIWG Crisis Line,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-naseeha,Naseeha Mental Health,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-nors,National Overdose Response Service (NORS),Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-ontx-distress,ONTX - Ontario Online & Text Crisis Services,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-sadv-navigation,Sexual Assault/Domestic Violence Navigation Line,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-seniors-safety-line,Seniors Safety Line,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-vac-assistance,VAC Assistance Service,Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
ontario-victim-support-line,Victim Support Line (VSL),Crisis,L1,2026-01-08,30,176,due,visible_due_for_reverification,2 - crisis due,Reverify soon; still inside the 180-day visibility window as of 2026-07-04 (176 days since verification).,,,
kfla-children-services,KFL&A Children's Services,Community,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
kfpl-rideau-heights,KFPL - Rideau Heights Branch,Community,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
kingston-humane-society,Kingston Humane Society,Community,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
kingston-police-non-emerg,Kingston Police (Non-Emergency),Community,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
opp-frontenac,OPP Frontenac Detachment,Community,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
red-cross-kingston,Canadian Red Cross - Kingston,Community,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
service-ontario-kingston,ServiceOntario,Community,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
geneva-centre-autism,Geneva Centre for Autism (Virtual),Education,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
odsp-kingston,ODSP Kingston Office,Financial,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
service-canada-kingston,Service Canada Centre,Financial,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
alzheimer-society-kfla,Alzheimer Society KFL&A,Health,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
autism-ontario-east,Autism Ontario (East Region),Health,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
cnib-kingston,CNIB Foundation Kingston,Health,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
kingston-pregnancy-care,Kingston Pregnancy Care Centre,Health,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
st-john-ambulance-kingston,St. John Ambulance,Health,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
habitat-for-humanity-kingston,Habitat for Humanity Kingston,Housing,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
kingston-east-community-centre,Kingston East Community Centre,Wellness,L2,2026-01-02,90,182,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
bgc-south-east,BGC South East,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
boys-girls-club-kingston,BGC South East (Boys & Girls Club),Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
community-foundation-kingston,Community Foundation for Kingston & Area,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
community-living-kingston,Community Living Kingston and District,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-211-ontario,211 Ontario,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-pflag-canada,PFLAG Canada,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
earlyon-cosy,EarlyON Child and Family Centre,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
earlyon-kchc,EarlyON Child and Family Centre (KCHC),Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
hart-centre,H'art Centre,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
iska-newcomer-support,Trellis HIV & Community Care,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfpl-calvin-park,KFPL - Calvin Park Branch,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfpl-central-branch,Kingston Frontenac Public Library - Central Branch,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfpl-isabel-turner,KFPL - Isabel Turner Branch,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfpl-pittsburgh,KFPL - Pittsburgh Branch,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kiln-language-nest,Kingston Native Centre and Language Nest (KNCLN),Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kingston-access-bus,Kingston Access Services (Access Bus),Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kingston-military-family-resource,Kingston Military Family Resource Centre (KMFRC),Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kmfrc,Kingston Military Family Resource Centre (KMFRC),Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
metis-nation-ontario-kingston,Métis Nation of Ontario (Kingston Office),Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
one-roof-youth-hub,One Roof Kingston Youth Hub,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
ongwanada,Ongwanada,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
rideau-heights-community-centre,Rideau Heights Community Centre,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
rural-frontenac-community-services,Rural Frontenac Community Services,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
seniors-association-kingston,Seniors Association Kingston Region,Community,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
south-frontenac-community-services,Southern Frontenac Community Services,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
tnet-kingston,TransFamily Kingston,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
united-way-kfla-office,United Way KFL&A,Community,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfpl-learning-programs,KFPL Learning Programs,Education,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kingston-literacy-skills,Kingston Literacy & Skills,Education,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kingston-literacy-skills-2,Kingston Literacy & Skills,Education,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
slc-academic-upgrading,St. Lawrence College Academic Upgrading,Education,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
acfomi-kingston,ACFOMI (Association canadienne-française de l'Ontario),Employment,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
acls-kingston,ACFOMI,Employment,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
jobwell-kingston,Jobwell,Employment,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
keys-job-centre,KEYS Job Centre,Employment,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
keys-job-centre-2,KEYS Job Centre,Employment,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
re-start-employment,ReStart Employment Services,Employment,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
restart-kingston,ReStart Employment Services,Employment,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
slc-employment-service,St. Lawrence College Employment Service,Employment,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
ontario-works-kb,City of Kingston - Housing and Social Services (Ontario Works),Financial,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
ontario-works-kingston,City of Kingston - Housing and Social Services (Ontario Works),Financial,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
good-food-box-kingston,The Good Food Box Kingston,Food,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
lionhearts-fresh-food-market,Lionhearts Fresh Food Market,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
loving-spoonful,Loving Spoonful,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
lunch-by-george,Lunch by George (Outreach St. George's Kingston),Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
marthas-table,Martha's Table,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
marthas-table-kingston,Martha's Table,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
memorial-centre-market,Memorial Centre Farmers Market,Food,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
partners-in-mission-food-bank,Partners in Mission Food Bank,Food,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
salvation-army-cfs,Salvation Army Community & Family Services,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
salvation-army-rideau-heights,Salvation Army Rideau Heights Corps,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
st-lawrence-food-pantry,SLC Food Pantry,Food,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
st-marys-cathedral-drop-in,St. Mary's Cathedral Drop-In Centre,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
st-vincent-de-paul-kingston,St. Vincent de Paul Society of Kingston,Food,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
student-food-bank-queens,AMS Food Bank (Queen's),Food,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
cdk-family-medicine-walk-in,CDK Family Medicine and Walk-In Clinic,Health,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-eating-disorders,National Eating Disorder Information Centre (NEDIC),Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-telehealth-ontario,Health811 (formerly Telehealth Ontario),Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
hospice-kingston,Hospice Kingston (Providence Care),Health,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
hotel-dieu-site,Hotel Dieu Hospital Urgent Care Centre (KHSC),Health,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
hotel-dieu-urgent-care,Hotel Dieu Hospital Urgent Care Centre (KHSC),Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
integrated-care-hub,Integrated Care Hub (ICH),Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kchc-iipct,Indigenous Interprofessional Primary Care Team (IIPCT),Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kchc-transgender-health-care,Transgender Health Program (KCHC),Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kchc-weller-clinic,Kingston Community Health Centres (KCHC) - Weller Clinic,Health,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfl-public-health-sexual,KFL&A Public Health: Sexual Health Clinic,Health,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfl-public-health-vaccine,KFL&A Public Health - Immunization,Health,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfla-public-health-dental,KFL&A Public Health Dental Services,Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kfla-sexual-health-clinic,KFL&A Public Health: Sexual Health Clinic,Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kgh-emergency-department,Kingston General Hospital (KGH) Emergency Department,Health,L1,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
kingston-general-hospital,Kingston General Hospital (KGH) Emergency Department,Health,L2,2026-01-03,90,181,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
