service_id,name,category,verification_level,last_verified,cadence_days,days_since_verification,status,search_visibility,priority_lane,recommendation,reviewer,evidence_url,notes
united-way-kfla-office,United Way KFL&A,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfpl-learning-programs,KFPL Learning Programs,Education,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kingston-literacy-skills,Kingston Literacy & Skills,Education,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kingston-literacy-skills-2,Kingston Literacy & Skills,Education,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
slc-academic-upgrading,St. Lawrence College Academic Upgrading,Education,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
acfomi-kingston,ACFOMI (Association canadienne-française de l'Ontario),Employment,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
acls-kingston,ACFOMI,Employment,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
jobwell-kingston,Jobwell,Employment,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
keys-job-centre,KEYS Job Centre,Employment,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
keys-job-centre-2,KEYS Job Centre,Employment,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
re-start-employment,ReStart Employment Services,Employment,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
restart-kingston,ReStart Employment Services,Employment,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
slc-employment-service,St. Lawrence College Employment Service,Employment,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
ontario-works-kb,City of Kingston - Housing and Social Services (Ontario Works),Financial,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
ontario-works-kingston,City of Kingston - Housing and Social Services (Ontario Works),Financial,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
good-food-box-kingston,The Good Food Box Kingston,Food,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
lionhearts-fresh-food-market,Lionhearts Fresh Food Market,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
loving-spoonful,Loving Spoonful,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
lunch-by-george,Lunch by George (Outreach St. George's Kingston),Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
marthas-table,Martha's Table,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
marthas-table-kingston,Martha's Table,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
memorial-centre-market,Memorial Centre Farmers Market,Food,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
partners-in-mission-food-bank,Partners in Mission Food Bank,Food,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
salvation-army-cfs,Salvation Army Community & Family Services,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
salvation-army-rideau-heights,Salvation Army Rideau Heights Corps,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
st-lawrence-food-pantry,SLC Food Pantry,Food,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
st-marys-cathedral-drop-in,St. Mary's Cathedral Drop-In Centre,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
st-vincent-de-paul-kingston,St. Vincent de Paul Society of Kingston,Food,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
student-food-bank-queens,AMS Food Bank (Queen's),Food,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
cdk-family-medicine-walk-in,CDK Family Medicine and Walk-In Clinic,Health,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-eating-disorders,National Eating Disorder Information Centre (NEDIC),Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-telehealth-ontario,Health811 (formerly Telehealth Ontario),Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
hospice-kingston,Hospice Kingston (Providence Care),Health,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
hotel-dieu-site,Hotel Dieu Hospital Urgent Care Centre (KHSC),Health,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
hotel-dieu-urgent-care,Hotel Dieu Hospital Urgent Care Centre (KHSC),Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
integrated-care-hub,Integrated Care Hub (ICH),Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kchc-iipct,Indigenous Interprofessional Primary Care Team (IIPCT),Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kchc-transgender-health-care,Transgender Health Program (KCHC),Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kchc-weller-clinic,Kingston Community Health Centres (KCHC) - Weller Clinic,Health,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfl-public-health-sexual,KFL&A Public Health: Sexual Health Clinic,Health,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfl-public-health-vaccine,KFL&A Public Health - Immunization,Health,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfla-public-health-dental,KFL&A Public Health Dental Services,Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfla-sexual-health-clinic,KFL&A Public Health: Sexual Health Clinic,Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kgh-emergency-department,Kingston General Hospital (KGH) Emergency Department,Health,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kingston-general-hospital,Kingston General Hospital (KGH) Emergency Department,Health,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
